UC Berkeley, University of Pennsylvania, Phialdelphia, USA
UCLA, Cornell University, Ithaca, USA
Penn, University of Michigan, Ann Arbor, USA
MIT, University of Maryland College Park, College Park, USA
Rice University, Yale University, New Haven, USA
Columbia University, NYU, New York, USA
Drexel University, UIUC, Urbana, USA
Temple University, Harvard University, Cambridge, USA
University of Connecticut, New Haven University, New Haven, USA
University of California, University of Connecticut, Storrs, USA
UC Berkeley, Berkeley, CA, USA
University of Pennsylvania, Phialdelphia, PA, USA
UCLA, Los Angeles, CA, USA
Cornell University, Ithaca, New York, USA
Penn, Philadelphia, PA, USA
University of Michigan, Ann Arbor, MI, USA
UC Berkeley, Berkeley, CA, USA
MIT, Cambridge, MA, USA
University of Pennsylvania, Phialdelphia, PA, USA
UCLA, Los Angeles, CA, USA
University of Maryland College Park, College Park, MD, USA
University of Michigan, Ann Arbor, MI, USA
UC Berkeley, Berkeley, CA, USA
MIT, Cambridge, MA, USA
Rice University, Houston, TX, USA
Yale University, New Haven, CT, USA
Columbia University, New York, NY, USA
NYU, New York, New York, USA
Drexel University, Philadelphia, PA, USA
UC Berkeley, Berkeley, CA, USA
UIUC, Urbana, IL, USA
Temple University, Philadelphia, PA, USA
Harvard University, Cambridge, MA, USA
University of Connecticut, Storrs, CT, USA
Drexel University, Philadelphia, PA, USA
NYU, New York, New York, USA
UIUC, Urbana, IL, USA
New Haven University, New Haven, CT, USA
University of California, Santa Barbara, CA, USA
University of Connecticut, Storrs, CT, USA

ORIGINAL OUTPUT STRAIGHT FROM SL FILE:
UC Berkeley, Berkeley, CA, USA
University of Pennsylvania, Phialdelphia, PA, USA
UCLA, Los Angeles, CA, USA
Cornell University, Ithaca, New York, USA
Penn, Philadelphia, PA, USA
University of Michigan, Ann Arbor, MI, USA
UC Berkeley, Berkeley, CA, USA
MIT, Cambridge, MA, USA
University of Pennsylvania, Phialdelphia, PA, USA
UCLA, Los Angeles, CA, USA
University of Maryland College Park, College Park, MD, USA
University of Michigan, Ann Arbor, MI, USA
UC Berkeley, Berkeley, CA, USA
MIT, Cambridge, MA, USA
Rice University, Houston, TX, USA
Yale University, New Haven, CT, USA
Columbia University, New York, NY, USA
NYU, New York, New York, USA
Drexel University, Philadelphia, PA, USA
UC Berkeley, Berkeley, CA, USA
UIUC, Urbana, IL, USA
Temple University, Philadelphia, PA, USA
Harvard University, Cambridge, MA, USA
University of Connecticut, Storrs, CT, USA
Drexel University, Philadelphia, PA, USA
NYU, New York, New York, USA
UIUC, Urbana, IL, USA
New Haven University, New Haven, CT, USA
University of California, Santa Barbara, Santa Barbara, CA, USA
University of Connecticut, Storrs, CT, USA
