Invalid input format
UCLA, Los Angeles, CA
Invalid input format
Invalid input format
University of Maryland College Park, College Park, MD
Invalid input format
UC Berkeley, Berkeley, CA
MIT, Cambridge, MA
Rice University, Houston, TX
Invalid input format
Invalid input format
Invalid input format
UC Berkeley, Berkeley, CA
UIUC, Urbana, IL
Temple University, Philadelphia, PA
Invalid input format
Invalid input format
Drexel University, Philadelphia, PA
Invalid input format
Invalid input format

ORIGINAL OUTPUT STRAIGHT FROM SL FILE:
University of Pennsylvania, Phialdelphia, PA, USA
UCLA, Los Angeles, CA, USA
Cornell University, Ithaca, New York, USA
Penn, Philadelphia, PA, USA
University of Maryland College Park, College Park, MD, USA
University of Michigan, Ann Arbor, MI, USA
UC Berkeley, Berkeley, CA, USA
MIT, Cambridge, MA, USA
Rice University, Houston, TX, USA
Yale University, New Haven, CT, USA
Columbia University, New York, NY, USA
NYU, New York, New York, USA
UC Berkeley, Berkeley, CA, USA
UIUC, Urbana, IL, USA
Temple University, Philadelphia, PA, USA
Harvard University, Cambridge, MA, USA
University of Connecticut, Storrs, CT, USA
Drexel University, Philadelphia, PA, USA
New Haven University, New Haven, CT, USA
University of California, Santa Barbara, Santa Barbara, CA, USA
