Berkeley, Ca'], USA
Phialdelphia, PA, USA
Ithaca, New York, USA
Philadelphia, PA, USA
Ann Arbor, MI, USA
Berkeley, Ca'], USA
Cambridge, Ma'], USA
Phialdelphia, PA, USA
Los Angeles, Ca'], USA
College Park, Md'], USA
Ann Arbor, MI, USA
Berkeley, Ca'], USA
Cambridge, Ma'], USA
Houston, Tx'], USA
New Haven, CT, USA
New York, NY, USA
New York, New York, USA
Philadelphia, Pa'], USA
Berkeley, Ca'], USA
Urbana, Il'], USA
Philadelphia, Pa'], USA
Cambridge, MA, USA
Storrs, CT, USA
Philadelphia, Pa'], USA
New York, New York, USA
Urbana, Il'], USA
New Haven, CT, USA
Santa Barbara, CA, USA
Storrs, CT, USA

ORIGINAL OUTPUT STRAIGHT FROM SL FILE:
Berkeley, CA, USA
Phialdelphia, PA, USA
Ithaca, NY, USA
Philadelphia, PA, USA
Ann Arbor, MI, USA
Berkeley, CA, USA
Cambridge, MA, USA
Phialdelphia, PA, USA
Los Angeles, CA, USA
College Park, MD, USA
Ann Arbor, MI, USA
Berkeley, CA, USA
Cambridge, MA, USA
Houston, TX, USA
New Haven, CT, USA
New York, NY, USA
New York, NY, USA
Philadelphia, PA, USA
Berkeley, CA, USA
Urbana, IL, USA
Philadelphia, PA, USA
Cambridge, MA, USA
Storrs, CT, USA
Philadelphia, PA, USA
New York, NY, USA
Urbana, IL, USA
New Haven, CT, USA
Santa Barbara, CA, USA
Storrs, CT, USA
