PA, PA, USA
Los Angeles, Los Angeles, CA
New York, New York, USA
PA, PA, USA
College Park, College Park, MD
MI, MI, USA
Berkeley, Berkeley, CA
Cambridge, Cambridge, MA
Houston, Houston, TX
CT, CT, USA
NY, NY, USA
New York, New York, USA
Berkeley, Berkeley, CA
Urbana, Urbana, IL
Philadelphia, Philadelphia, PA
MA, MA, USA
CT, CT, USA
Philadelphia, Philadelphia, PA
CT, CT, USA
CA, CA, USA

ORIGINAL OUTPUT STRAIGHT FROM SL FILE:
Phialdelphia, PA, USA
Los Angeles, CA, USA
Ithaca, NY, USA
Philadelphia, PA, USA
College Park, MD, USA
Ann Arbor, MI, USA
Berkeley, CA, USA
Cambridge, MA, USA
Houston, TX, USA
New Haven, CT, USA
New York, NY, USA
New York, NY, USA
Berkeley, CA, USA
Urbana, IL, USA
Philadelphia, PA, USA
Cambridge, MA, USA
Storrs, CT, USA
Philadelphia, PA, USA
New Haven, CT, USA
Santa Barbara, CA, USA
