Philadelphia,  PA,  USA
Los Angeles,  CA, USA
Ithaca, NY,  USA
Philadelphia,  PA,  USA
College Park,  MD, USA
Ann Arbor,  MI,  USA
New York,  NY,  USA
New York, NY,  USA
Philadelphia,  PA,  USA
Los Angeles,  CA, USA
Ithaca, NY,  USA
Philadelphia,  PA,  USA
College Park,  MD, USA
Ann Arbor,  MI,  USA
New York,  NY,  USA
New York, NY,  USA

ORIGINAL OUTPUT STRAIGHT FROM SL FILE:
Phialdelphia, PA, USA
Los Angeles, CA, USA
Ithaca, NY, USA
Philadelphia, PA, USA
College Park, MD, USA
Ann Arbor, MI, USA
New York, NY, USA
New York, NY, USA
