Berkeley, CA, USA
Philadelphia, PA, USA
Los Angeles, CA, USA
Ithaca, NY, USA
Philadelphia, PA, USA
Ann Arbor, MI, USA
Cambridge, MA, USA
College Park, MD, USA
Houston, TX, USA
New Haven, CT, USA
New York, NY, USA
New York, NY, USA
Philadelphia, PA, USA
Urbana, IL, USA
Philadelphia, PA, USA
Cambridge, MA, USA
Storrs, CT, USA
Philadelphia, PA, USA
New Haven, CT, USA
Santa Barbara, CA, USA
Berkeley, CA, USA
Philadelphia, PA, USA
Los Angeles, CA, USA
Ithaca, NY, USA
Philadelphia, PA, USA
Ann Arbor, MI, USA
Berkeley, CA, USA
Cambridge, MA, USA
Philadelphia, PA, USA
Los Angeles, CA, USA
College Park, MD, USA
Ann Arbor, MI, USA
Berkeley, CA, USA
Cambridge, MA, USA
Houston, TX, USA
New Haven, CT, USA
New York, NY, USA
New York, NY, USA
Philadelphia, PA, USA
Berkeley, CA, USA
Urbana, IL, USA
Philadelphia, PA, USA
Cambridge, MA, USA
Storrs, CT, USA
Philadelphia, PA, USA
New York, NY, USA
Urbana, IL, USA
New Haven, CT, USA
Santa Barbara, CA, USA
Storrs, CT, USA

ORIGINAL OUTPUT STRAIGHT FROM SL FILE:
Berkeley, CA, USA
Phialdelphia, PA, USA
UCLA, Los Angeles, CA, USA
Ithaca, NY, USA
Philadelphia, PA, USA
Ann Arbor, MI, USA
Berkeley, CA, USA
Cambridge, MA, USA
Phialdelphia, PA, USA
Los Angeles, CA, USA
College Park, MD, USA
Ann Arbor, MI, USA
Berkeley, CA, USA
Cambridge, MA, USA
Houston, TX, USA
New Haven, CT, USA
New York, NY, USA
New York, NY, USA
Philadelphia, PA, USA
Berkeley, CA, USA
Urbana, IL, USA
Philadelphia, PA, USA
Cambridge, MA, USA
Storrs, CT, USA
DPhiladelphia, PA, USA
New York, NY, USA
Urbana, IL, USA
New Haven, CT, USA
Santa Barbara, CA, USA
Storrs, CT, USA
