University of California, Santa Barbara, CA, USA, USA
University of Connecticut, Storrs, CT, USA, USA
New Haven University, New Haven, CT, USA, USA
UIUC, Urbana, IL, USA

ORIGINAL OUTPUT:
Berkeley, CA, USA
Phialdelphia, PA, USA
Ithaca, NY, USA
Philadelphia, PA, USA
Ann Arbor, MI, USA
Berkeley, CA, USA
Cambridge, MA, USA
Phialdelphia, PA, USA
Los Angeles, CA, USA
College Park, MD, USA
Ann Arbor, MI, USA
Berkeley, CA, USA
Cambridge, MA, USA
Houston, TX, USA
New Haven, CT, USA
New York, NY, USA
New York, NY, USA
Philadelphia, PA, USA
Berkeley, CA, USA
Urbana, IL, USA
Philadelphia, PA, USA
Cambridge, MA, USA
Storrs, CT, USA
Philadelphia, PA, USA
New York, NY, USA
Urbana, IL, USA
New Haven, CT, USA
Santa Barbara, CA, USA
Storrs, CT, USA
