CA, USA
USA
USA
USA
USA
CA, USA
MA, USA
USA
CA, USA
MD, USA
USA
CA, USA
MA, USA
TX, USA
USA
USA
USA
PA, USA
CA, USA
IL, USA
PA, USA
USA
USA
PA, USA
USA
IL, USA
USA
USA
USA

ORIGINAL OUTPUT:
Berkeley, CA, USA
Phialdelphia, PA, USA
Ithaca, New York, USA
Philadelphia, PA, USA
Ann Arbor, MI, USA
Berkeley, CA, USA
Cambridge, MA, USA
Phialdelphia, PA, USA
Los Angeles, CA, USA
College Park, MD, USA
Ann Arbor, MI, USA
Berkeley, CA, USA
Cambridge, MA, USA
Houston, TX, USA
New Haven, CT, USA
New York, NY, USA
New York, New York, USA
Philadelphia, PA, USA
Berkeley, CA, USA
Urbana, IL, USA
Philadelphia, PA, USA
Cambridge, MA, USA
Storrs, CT, USA
Philadelphia, PA, USA
New York, New York, USA
Urbana, IL, USA
New Haven, CT, USA
Santa Barbara, CA, USA
Storrs, CT, USA
