PA, USA
Los Angeles, CA
New York, USA
PA, USA
College Park, MD
MI, USA
Berkeley, CA
Cambridge, MA
Houston, TX
CT, USA
NY, USA
New York, USA
Berkeley, CA
Urbana, IL
Philadelphia, PA
MA, USA
CT, USA
Philadelphia, PA
CT, USA
CA, USA

ORIGINAL OUTPUT:
Phialdelphia, PA, USA
Los Angeles, CA, USA
Ithaca, NY, USA
Philadelphia, PA, USA
College Park, MD, USA
Ann Arbor, MI, USA
Berkeley, CA, USA
Cambridge, MA, USA
Houston, TX, USA
New Haven, CT, USA
New York, NY, USA
New York, NY, USA
Berkeley, CA, USA
Urbana, IL, USA
Philadelphia, PA, USA
Cambridge, MA, USA
Storrs, CT, USA
Philadelphia, PA, USA
New Haven, CT, USA
Santa Barbara, CA, USA
