Berkeley, Berkeley, CA
PA, PA, USA
New York, New York, USA
PA, PA, USA
MI, MI, USA
Berkeley, Berkeley, CA
Cambridge, Cambridge, MA
PA, PA, USA
Los Angeles, Los Angeles, CA
College Park, College Park, MD
MI, MI, USA
Berkeley, Berkeley, CA
Cambridge, Cambridge, MA
Houston, Houston, TX
CT, CT, USA
NY, NY, USA
New York, New York, USA
Philadelphia, Philadelphia, PA
Berkeley, Berkeley, CA
Urbana, Urbana, IL
Philadelphia, Philadelphia, PA
MA, MA, USA
CT, CT, USA
Philadelphia, Philadelphia, PA
New York, New York, USA
Urbana, Urbana, IL
CT, CT, USA
CA, CA, USA
CT, CT, USA

ORIGINAL OUTPUT:
Berkeley, CA, USA
Phialdelphia, PA, USA
Ithaca, NY, USA
Philadelphia, PA, USA
Ann Arbor, MI, USA
Berkeley, CA, USA
Cambridge, MA, USA
Phialdelphia, PA, USA
Los Angeles, CA, USA
College Park, MD, USA
Ann Arbor, MI, USA
Berkeley, CA, USA
Cambridge, MA, USA
Houston, TX, USA
New Haven, CT, USA
New York, NY, USA
New York, NY, USA
Philadelphia, PA, USA
Berkeley, CA, USA
Urbana, IL, USA
Philadelphia, PA, USA
Cambridge, MA, USA
Storrs, CT, USA
Philadelphia, PA, USA
New York, NY, USA
Urbana, IL, USA
New Haven, CT, USA
Santa Barbara, CA, USA
Storrs, CT, USA
