UC Berkeley, Berkeley, USA
University of Pennsylvania, PA, USA
UCLA, Los Angeles, USA
Cornell University, New York, NY, USA
Penn, PA, USA
University of Michigan, MI, USA
UC Berkeley, Berkeley, USA
MIT, Cambridge, USA
University of Pennsylvania, PA, USA
UCLA, Los Angeles, USA
University of Maryland College Park, College Park, USA
University of Michigan, MI, USA
UC Berkeley, Berkeley, USA
MIT, Cambridge, USA
Rice University, Houston, USA
Yale University, CT, USA
Columbia University, NY, USA
NYU, New York, NY, USA
Drexel University, Philadelphia, USA
UC Berkeley, Berkeley, USA
UIUC, Urbana, USA
Temple University, Philadelphia, USA
Harvard University, MA, USA
University of Connecticut, CT, USA
Drexel University, Philadelphia, USA
NYU, New York, NY, USA
UIUC, Urbana, USA
New Haven University, CT, USA
University of California, CA, USA
University of Connecticut, CT, USA

ORIGINAL OUTPUT:
Berkeley, CA, USA
Phialdelphia, PA, USA
UCLA, Los Angeles, CA, USA
Ithaca, NY, USA
Philadelphia, PA, USA
Ann Arbor, MI, USA
Berkeley, CA, USA
Cambridge, MA, USA
Phialdelphia, PA, USA
Los Angeles, CA, USA
College Park, MD, USA
Ann Arbor, MI, USA
Berkeley, CA, USA
Cambridge, MA, USA
Houston, TX, USA
New Haven, CT, USA
New York, NY, USA
New York, NY, USA
Philadelphia, PA, USA
Berkeley, CA, USA
Urbana, IL, USA
Philadelphia, PA, USA
Cambridge, MA, USA
Storrs, CT, USA
DPhiladelphia, PA, USA
New York, NY, USA
Urbana, IL, USA
New Haven, CT, USA
Santa Barbara, CA, USA
Storrs, CT, USA
