PA
Los Angeles, CA
New York
PA
College Park, MD
MI
Berkeley, CA
Cambridge, MA
Houston, TX
CT
NY
New York
Berkeley, CA
Urbana, IL
Philadelphia, PA
MA
CT
Philadelphia, PA
CT
CA

ORIGINAL OUTPUT:
Phialdelphia, PA, USA
Los Angeles, CA, USA
Ithaca, NY, USA
Philadelphia, PA, USA
College Park, MD, USA
Ann Arbor, MI, USA
Berkeley, CA, USA
Cambridge, MA, USA
Houston, TX, USA
New Haven, CT, USA
New York, NY, USA
New York, NY, USA
Berkeley, CA, USA
Urbana, IL, USA
Philadelphia, PA, USA
Cambridge, MA, USA
Storrs, CT, USA
Philadelphia, PA, USA
New Haven, CT, USA
Santa Barbara, CA, USA
